종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","277500","-18500","-6.25","1.622342314E9"
"000660","SK하이닉스","2076000","-125000","-5.68","1.47957011E9"
"402340","SK스퀘어","1270000","-86000","-6.34","1.6758715E8"
"009150","삼성전기","1479000","-169000","-10.25","1.10471976E8"
"005380","현대차","462500","-17000","-3.55","9.4700467E7"
"373220","LG에너지솔루션","315500","-16500","-4.97","7.3827E7"
"032830","삼성생명","346000","-29000","-7.73","6.92E7"
"028260","삼성물산","395000","-29500","-6.95","6.4056194E7"
"207940","삼성바이오로직스","1363000","-59000","-4.15","6.3094566E7"
"000270","기아","156800","3100","2.02","6.1216758E7"
"105560","KB금융","171000","-2200","-1.27","6.0651603E7"
"329180","HD현대중공업","517000","-35000","-6.34","5.4264953E7"
"012450","한화에어로스페이스","1041000","-81000","-7.22","5.36775E7"
"055550","신한지주","107300","-1300","-1.20","5.0930413E7"
"034020","두산에너빌리티","74000","-7600","-9.31","4.7401525E7"
"012330","현대모비스","488500","-6500","-1.31","4.4322867E7"
"034730","SK","596000","-30000","-4.79","4.3211611E7"
"068270","셀트리온","176800","-1400","-0.79","4.1115495E7"
"086790","하나금융지주","122300","-4600","-3.62","3.3555176E7"
"006400","삼성SDI","412000","-33000","-7.42","3.3201238E7"
"066570","LG전자","195800","6700","3.54","3.1892812E7"
"035420","NAVER","192700","-4500","-2.28","3.0232254E7"
"000810","삼성화재","671000","-11000","-1.61","2.9958454E7"
"267260","HD현대일렉트릭","814000","-85000","-9.45","2.9342368E7"
"010120","LS ELECTRIC","183500","-22500","-10.92","2.7525E7"
"042660","한화오션","82000","-7800","-8.69","2.5125898E7"
"298040","효성중공업","2689000","-213000","-7.34","2.507371E7"
"005490","POSCO홀딩스","304000","-11500","-3.65","2.4089424E7"
"015760","한국전력","36750","-1450","-3.80","2.359218E7"
"009540","HD한국조선해양","340000","-20500","-5.69","2.4062859E7"
"006800","미래에셋증권","40500","-2100","-4.93","2.2662459E7"
"316140","우리금융지주","30700","-850","-2.69","2.2352353E7"
"010130","고려아연","1034000","-60000","-5.48","2.158265E7"
"000150","두산","1268000","-52000","-3.94","2.0533783E7"
"033780","KT&G","184300","900","0.49","1.9132267E7"
"042700","한미반도체","199200","-11300","-5.37","1.898619E7"
"011200","HMM","20050","450","2.30","1.8911921E7"
"010140","삼성중공업","21150","-1300","-5.79","1.8612E7"
"138040","메리츠금융지주","113700","-700","-0.61","1.9027385E7"
"064350","현대로템","169100","-17300","-9.28","1.8455962E7"
"017670","SK텔레콤","84000","-1200","-1.41","1.8042364E7"
"011070","LG이노텍","763000","-51000","-6.27","1.8058003E7"
"051910","LG화학","255000","-10500","-3.95","1.8001047E7"
"096770","SK이노베이션","99800","-4000","-3.85","1.6871468E7"
"024110","기업은행","20950","-400","-1.87","1.6706072E7"
"267250","HD현대","193700","-16800","-7.98","1.5300961E7"
"003550","LG","102500","200","0.20","1.549718E7"
"079550","LIG디펜스앤에어로스페이스","714000","-85000","-10.64","1.5708E7"
"035720","카카오","34650","-750","-2.12","1.5349294E7"
"018260","삼성에스디에스","194300","-10700","-5.22","1.5034507E7"
"010950","S-Oil","131600","4200","3.30","1.4815895E7"
"086280","현대글로비스","190400","-5700","-2.91","1.428E7"
"278470","에이피알","385500","-24500","-5.98","1.4432409E7"
"047810","한국항공우주","142000","-18200","-11.36","1.3841465E7"
"030200","KT","55400","-100","-0.18","1.3962001E7"
"003670","포스코퓨처엠","144700","-13500","-8.53","1.2870518E7"
"071050","한국금융지주","233500","-10000","-4.11","1.3012019E7"
"307950","현대오토에버","441500","-40000","-8.31","1.2107688E7"
"272210","한화시스템","64900","-5500","-7.81","1.2260868E7"
"259960","크래프톤","245000","0","0.00","1.1303769E7"
"005940","NH투자증권","30650","-1200","-3.77","1.0921955E7"
"000720","현대건설","100700","-8800","-8.04","1.1213526E7"
"003490","대한항공","28150","-1000","-3.43","1.0365412E7"
"323410","카카오뱅크","22000","-850","-3.72","1.049665E7"
"352820","하이브","230000","-2000","-0.86","9913517.0"
"016360","삼성증권","111700","-3900","-3.37","9974810.0"
"005830","DB손해보험","151400","1300","0.87","9916753.0"
"0126Z0","삼성에피스홀딩스","380500","-28000","-6.85","9468000.0"
"006260","LS","308500","-32500","-9.53","9625200.0"
"443060","HD현대마린솔루션","197600","-3400","-1.69","8859092.0"
"039490","키움증권","334500","-11500","-3.32","8773372.0"
"003230","삼양식품","1146000","-76000","-6.22","8632835.0"
"180640","한진칼","136100","2300","1.72","9086346.0"
"161390","한국타이어앤테크놀로지","73000","-1100","-1.48","9042880.0"
"047050","포스코인터내셔널","48750","-950","-1.91","8576236.0"
"028050","삼성E&A","43500","-4050","-8.52","8526000.0"
"090430","아모레퍼시픽","124300","-2200","-1.74","7270650.0"
"078930","GS","78600","-1500","-1.87","7301586.0"
"326030","SK바이오팜","82100","-2800","-3.30","6429518.0"
"047040","대우건설","15830","-990","-5.89","6504668.0"
"021240","코웨이","91700","-5100","-5.27","6489373.0"
"000880","한화","93400","-8400","-8.25","6585440.0"
"007660","이수페타시스","87800","-10200","-10.41","6445329.0"
"064400","LG씨엔에스","71200","-2800","-3.78","6898279.0"
"241560","두산밥캣","61400","-3400","-5.25","5885562.0"
"004170","신세계","625000","-55000","-8.09","5903238.0"
"032640","LG유플러스","14810","-180","-1.20","6285775.0"
"267270","HD건설기계","125300","-800","-0.63","6004614.0"
"271560","오리온","140300","800","0.57","5545889.0"
"029780","삼성카드","48850","-300","-0.61","5659707.0"
"034220","LG디스플레이","11240","360","3.31","5620000.0"
"001440","대한전선","28200","-2350","-7.69","5526991.0"
"062040","산일전기","178200","-15200","-7.86","5455744.0"
"138930","BNK금융지주","17930","-540","-2.92","5564164.0"
"000100","유한양행","69100","-1200","-1.71","5503649.0"
"036570","NC","258500","3500","1.37","5569130.0"
"377300","카카오페이","38150","-1350","-3.42","5160258.0"
"128940","한미약품","409000","-21000","-4.88","5239695.0"
"009830","한화솔루션","29850","-1550","-4.94","5130992.0"
"000990","DB하이텍","111800","0","0.00","4863813.0"
"175330","JB금융지주","26000","-2000","-7.14","4894593.0"
"454910","두산로보틱스","72500","-6300","-7.99","4699449.0"
"011790","SKC","88700","-8300","-8.56","4399369.0"
"023530","롯데쇼핑","159600","-15000","-8.59","4514885.0"
"051900","LG생활건강","256000","-2000","-0.78","3833734.0"
